1; En los exámenes me sudan las manos.;1;0
2; Cuando llevo rato haciendo el examen, siento molestias en el estómago y necesidad de defecar.;1;0
3; Al comenzar a leer el examen se me nubla la vista y no entiendo lo que leo.;1;0
4; Si llego 5 minutos tarde a un examen ya no entro, me escondo por el instituto o intento marcharme.;2;0
5; Las condiciones donde se realiza un examen (mucho ruido, calor, frío, sol…) me influyen aumentando mi nerviosismo.;1;0
6; Cuando termino un examen me duele la cabeza.;1;0
7; Cuando llevo un rato haciendo el examen, yo siento que me falta el aire, mucho calor y sensación de que me voy a desmayar.;1;0
8; Me siento nervioso/a si el profesor/a se para junto a mí y ya no puedo seguir contestando.;3;0
9; Me pongo nervioso/a al ver al profesor/a con los exámenes antes de entrar al aula.;1;0
10; En el examen siento rígidas las manos y/o los brazos.;1;0
11; Antes de entrar al examen siento un nudo en el estómago, que desaparece al comenzar a escribir.;1;0
12; Al comenzar el examen, nada más leer las preguntas lo entrego al profesor/a en blanco y vuelvo a mi sitio.;3;0
13; Después del examen lloro con facilidad, al pensar lo mal que lo he hecho aunque no sepa el resultado.;1;0
14; Mientras que estoy realizando el examen, pienso que lo estoy haciendo muy mal.;2;0
15; Me siento nervioso/a si los demás comienzan a entregar el examen antes que yo.;2;0
16; Pienso que el profesor/a me está observando constantemente.;2;0
17; Suelo morderme las uñas o el bolígrafo durante los exámenes;2;0
18; Tengo muchas ganas de ir al cuarto de baño durante el examen;1;0
19; No puedo quedarme quieto/a mientras hago el examen (muevo los pies, el bolígrafo, miro alrededor, miro la hora…);2;0
20; Me pongo malo/a y doy excusas para no hacer un examen;3;0
21; Para mí supone una tranquilidad o alivio cuando por cualquier razón, se aplaza un examen;2;0
22; Pienso que no voy a poder aprobar el examen, aunque haya estudiado;2;0
23; Antes de hacer el examen pienso que no me acuerdo de nada y voy a suspenderlo;2;0
24; No consigo dormir la noche anterior a un examen;1;0
25; Me pone nervioso/a que el aula esté llena de gente;1;0
26; He sentido mareos y ganas de vomitar en un examen;1;0
27; Momentos antes de hacer el examen tengo la boca seca y me cuesta tragar;1;0
28; Si me siento en las primeras filas para hacer el examen, aumenta mi nerviosismo;2;0
29; Si el examen tiene un tiempo fijo para realizarse, aumenta mi nerviosismo y lo hago peor;2;0
30; Me siento nervioso/a en aulas muy grandes;1;0
31; Cuando estoy haciendo un examen el corazón me late muy deprisa;1;0
32; Al entrar en el aula donde se hace el examen me tiemblan las piernas;1;0
33; Me siento nervioso/a en las clases demasiado pequeñas;1;0
34; Cuando un grupo de compañeros habla del examen antes de que venga el profesor me pongo más nervioso/a;1;0
35; Al salir del examen, tengo la sensación de haberlo hecho muy mal;2;0
36; Pienso que me voy a poner nervioso/a y se me va a olvidar todo;2;0
37; Tardo mucho tiempo en decidirme por contestar la mayoría de las preguntas o por entregar el examen;2;0
38; Me resulta difícil o imposible ingerir alimentos antes de realizar un examen;1;0
39; En las horas/momentos previos al examen siento molestias en el estómago o se me descompone y tengo que ir al baño;1;0
40; Desarrollo un ritual de comportamiento que me da seguridad y cuando algo me falla pienso que el examen se me va a dar mal;2;0
41; Antes de entrar al examen hablo con mucha rapidez y me muevo más de lo habitual;1;0
42; La noche anterior al examen o la misma mañana me asaltan pensamientos de inseguridad aunque lo haya trabajado e incluso lloro con facilidad;1;0
43; Establezco un ritual previo al examen y si no puedo cumplirlo, busco alguna excusa y no entro al examen;3;0
44; Tras haber realizado un examen siento que lo he hecho fatal y pienso en desaparecer o hacerme daño;2;0
45; Un examen de entrevista personal;4;0
46; Un examen oral en público;4;0
47; Una exposición de un trabajo en clase;4;0
48; Un examen escrito con preguntas alternativas;4;0
49; Un examen escrito con preguntas abiertas;4;0
50; Un examen escrito de desarrollo de un tema completo;4;0
51; Un examen tipo oposición ante un tribunal;4;0
52; Un examen de cultura general;4;0
53; Un examen de cálculo o problemas matemáticos;4;0
54; Un examen con pruebas físicas o gimnásticas;4;0
55; Un examen práctico (escribir a máquina, manejar ordenador, realizar un proyecto, dibujo, etc.);4;0
